#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-01-25 10:49:08 EST      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 12462600 COLUMBIA RIVER BELOW ROCK ISLAND DAM, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		287738	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	12462600	00060	287738	2002	1	97990
USGS	12462600	00060	287738	2002	2	99710
USGS	12462600	00060	287738	2002	3	72570
USGS	12462600	00060	287738	2002	4	116900
USGS	12462600	00060	287738	2002	5	141900
USGS	12462600	00060	287738	2002	6	212100
USGS	12462600	00060	287738	2002	7	178900
USGS	12462600	00060	287738	2002	8	116700
USGS	12462600	00060	287738	2002	9	74800
USGS	12462600	00060	287738	2002	10	79370
USGS	12462600	00060	287738	2002	11	98270
USGS	12462600	00060	287738	2002	12	94720
USGS	12462600	00060	287738	2003	1	79010
USGS	12462600	00060	287738	2003	2	72530
USGS	12462600	00060	287738	2003	3	84030
USGS	12462600	00060	287738	2003	4	110000
USGS	12462600	00060	287738	2003	5	135700
USGS	12462600	00060	287738	2003	6	143200
USGS	12462600	00060	287738	2003	7	108600
USGS	12462600	00060	287738	2003	8	97220
USGS	12462600	00060	287738	2003	9	63570
USGS	12462600	00060	287738	2003	10	77180
USGS	12462600	00060	287738	2003	11	94440
USGS	12462600	00060	287738	2003	12	108300
USGS	12462600	00060	287738	2004	1	100700
USGS	12462600	00060	287738	2004	2	84780
USGS	12462600	00060	287738	2004	3	73880
USGS	12462600	00060	287738	2004	4	92480
USGS	12462600	00060	287738	2004	5	122400
USGS	12462600	00060	287738	2004	6	134500
USGS	12462600	00060	287738	2004	7	103700
USGS	12462600	00060	287738	2004	8	93160
USGS	12462600	00060	287738	2004	9	78410
USGS	12462600	00060	287738	2004	10	81600
USGS	12462600	00060	287738	2004	11	91670
USGS	12462600	00060	287738	2004	12	117000
USGS	12462600	00060	287738	2005	1	108100
USGS	12462600	00060	287738	2005	2	107800
USGS	12462600	00060	287738	2005	3	96150
USGS	12462600	00060	287738	2005	4	87540
USGS	12462600	00060	287738	2005	5	125600
USGS	12462600	00060	287738	2005	6	130600
USGS	12462600	00060	287738	2005	7	135900
USGS	12462600	00060	287738	2005	8	105900
USGS	12462600	00060	287738	2005	9	68470
USGS	12462600	00060	287738	2005	10	79060
USGS	12462600	00060	287738	2005	11	91560
USGS	12462600	00060	287738	2005	12	95270
USGS	12462600	00060	287738	2006	1	97600
USGS	12462600	00060	287738	2006	2	106000
USGS	12462600	00060	287738	2006	3	90400
USGS	12462600	00060	287738	2006	4	145600
USGS	12462600	00060	287738	2006	5	171700
USGS	12462600	00060	287738	2006	6	200600
USGS	12462600	00060	287738	2006	7	132000
USGS	12462600	00060	287738	2006	8	103100
USGS	12462600	00060	287738	2006	9	68260
USGS	12462600	00060	287738	2006	10	66130
USGS	12462600	00060	287738	2006	11	85530
USGS	12462600	00060	287738	2006	12	95560
USGS	12462600	00060	287738	2007	1	116500
USGS	12462600	00060	287738	2007	2	90090
USGS	12462600	00060	287738	2007	3	122200
USGS	12462600	00060	287738	2007	4	157900
USGS	12462600	00060	287738	2007	5	168000
USGS	12462600	00060	287738	2007	6	159300
USGS	12462600	00060	287738	2007	7	134400
USGS	12462600	00060	287738	2007	8	111800
USGS	12462600	00060	287738	2007	9	62470
USGS	12462600	00060	287738	2007	10	65140
USGS	12462600	00060	287738	2007	11	80760
USGS	12462600	00060	287738	2007	12	89560
USGS	12462600	00060	287738	2008	1	104200
USGS	12462600	00060	287738	2008	2	90920
USGS	12462600	00060	287738	2008	3	81620
USGS	12462600	00060	287738	2008	4	86920
USGS	12462600	00060	287738	2008	5	160000
USGS	12462600	00060	287738	2008	6	208100
USGS	12462600	00060	287738	2008	7	143100
USGS	12462600	00060	287738	2008	8	86600
USGS	12462600	00060	287738	2008	9	60110
USGS	12462600	00060	287738	2008	10	64230
USGS	12462600	00060	287738	2008	11	78400
USGS	12462600	00060	287738	2008	12	97400
USGS	12462600	00060	287738	2009	1	112100
USGS	12462600	00060	287738	2009	2	83530
USGS	12462600	00060	287738	2009	3	69920
USGS	12462600	00060	287738	2009	4	110000
USGS	12462600	00060	287738	2009	5	125800
USGS	12462600	00060	287738	2009	6	153500
USGS	12462600	00060	287738	2009	7	104000
USGS	12462600	00060	287738	2009	8	75190
USGS	12462600	00060	287738	2009	9	53560
USGS	12462600	00060	287738	2009	10	58360
USGS	12462600	00060	287738	2009	11	78860
USGS	12462600	00060	287738	2009	12	97860
USGS	12462600	00060	287738	2010	1	75990
USGS	12462600	00060	287738	2010	2	73370
USGS	12462600	00060	287738	2010	3	66560
USGS	12462600	00060	287738	2010	4	71500
USGS	12462600	00060	287738	2010	5	119300
USGS	12462600	00060	287738	2010	6	180200
USGS	12462600	00060	287738	2010	7	130400
USGS	12462600	00060	287738	2010	8	85870
USGS	12462600	00060	287738	2010	9	57030
USGS	12462600	00060	287738	2010	10	71620
USGS	12462600	00060	287738	2010	11	88250
USGS	12462600	00060	287738	2010	12	90970
USGS	12462600	00060	287738	2011	1	119500
USGS	12462600	00060	287738	2011	2	140600
USGS	12462600	00060	287738	2011	3	126900
USGS	12462600	00060	287738	2011	4	149000
USGS	12462600	00060	287738	2011	5	202800
USGS	12462600	00060	287738	2011	6	273300
USGS	12462600	00060	287738	2011	7	215200
USGS	12462600	00060	287738	2011	8	145300
USGS	12462600	00060	287738	2011	9	78380
USGS	12462600	00060	287738	2011	10	78470
USGS	12462600	00060	287738	2011	11	92160
USGS	12462600	00060	287738	2011	12	99850
USGS	12462600	00060	287738	2012	1	96120
USGS	12462600	00060	287738	2012	2	87200
USGS	12462600	00060	287738	2012	3	117000
USGS	12462600	00060	287738	2012	4	171300
USGS	12462600	00060	287738	2012	5	217300
USGS	12462600	00060	287738	2012	6	234500
USGS	12462600	00060	287738	2012	7	260500
USGS	12462600	00060	287738	2012	8	162500
USGS	12462600	00060	287738	2012	9	85480
USGS	12462600	00060	287738	2012	10	66050
USGS	12462600	00060	287738	2012	11	93120
USGS	12462600	00060	287738	2012	12	130100
USGS	12462600	00060	287738	2013	1	140400
USGS	12462600	00060	287738	2013	2	95320
USGS	12462600	00060	287738	2013	3	77550
USGS	12462600	00060	287738	2013	4	150400
USGS	12462600	00060	287738	2013	5	186400
USGS	12462600	00060	287738	2013	6	176200
USGS	12462600	00060	287738	2013	7	164600
USGS	12462600	00060	287738	2013	8	118900
USGS	12462600	00060	287738	2013	9	73270
USGS	12462600	00060	287738	2013	10	76190
USGS	12462600	00060	287738	2013	11	89380
USGS	12462600	00060	287738	2013	12	98580
USGS	12462600	00060	287738	2014	1	99540
USGS	12462600	00060	287738	2014	2	74450
USGS	12462600	00060	287738	2014	3	116000
USGS	12462600	00060	287738	2014	4	141900
USGS	12462600	00060	287738	2014	5	186500
USGS	12462600	00060	287738	2014	6	180500
USGS	12462600	00060	287738	2014	7	159100
USGS	12462600	00060	287738	2014	8	115000
USGS	12462600	00060	287738	2014	9	65560
USGS	12462600	00060	287738	2014	10	68180
USGS	12462600	00060	287738	2014	11	96370
USGS	12462600	00060	287738	2014	12	113100
USGS	12462600	00060	287738	2015	1	137100
USGS	12462600	00060	287738	2015	2	152900
USGS	12462600	00060	287738	2015	3	141400
USGS	12462600	00060	287738	2015	4	114600
USGS	12462600	00060	287738	2015	5	116600
USGS	12462600	00060	287738	2015	6	107800
USGS	12462600	00060	287738	2015	7	100500
USGS	12462600	00060	287738	2015	8	109600
USGS	12462600	00060	287738	2015	9	73230
USGS	12462600	00060	287738	2015	10	70260
