#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-01-25 08:51:15 EST      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 14211720 WILLAMETTE RIVER AT PORTLAND, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		172765	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	14211720	00060	172765	2002	1	75230
USGS	14211720	00060	172765	2002	2	46250
USGS	14211720	00060	172765	2002	3	45970
USGS	14211720	00060	172765	2002	4	44300
USGS	14211720	00060	172765	2002	5	24100
USGS	14211720	00060	172765	2002	6	17030
USGS	14211720	00060	172765	2002	7	9484
USGS	14211720	00060	172765	2002	8	8458
USGS	14211720	00060	172765	2002	9	9390
USGS	14211720	00060	172765	2002	10	11190
USGS	14211720	00060	172765	2002	11	13970
USGS	14211720	00060	172765	2002	12	35540
USGS	14211720	00060	172765	2003	1	67130
USGS	14211720	00060	172765	2003	2	58570
USGS	14211720	00060	172765	2003	3	67770
USGS	14211720	00060	172765	2003	4	49170
USGS	14211720	00060	172765	2003	5	24940
USGS	14211720	00060	172765	2003	6	14050
USGS	14211720	00060	172765	2003	7	8171
USGS	14211720	00060	172765	2003	8	7513
USGS	14211720	00060	172765	2003	9	9197
USGS	14211720	00060	172765	2003	10	9645
USGS	14211720	00060	172765	2003	11	14730
USGS	14211720	00060	172765	2003	12	67200
USGS	14211720	00060	172765	2004	1	75370
USGS	14211720	00060	172765	2004	2	59180
USGS	14211720	00060	172765	2004	3	31350
USGS	14211720	00060	172765	2004	4	25930
USGS	14211720	00060	172765	2004	5	21710
USGS	14211720	00060	172765	2004	6	18700
USGS	14211720	00060	172765	2004	7	8477
USGS	14211720	00060	172765	2004	8	9016
USGS	14211720	00060	172765	2004	9	12180
USGS	14211720	00060	172765	2004	10	17960
USGS	14211720	00060	172765	2004	11	21870
USGS	14211720	00060	172765	2004	12	39560
USGS	14211720	00060	172765	2005	1	22680
USGS	14211720	00060	172765	2005	2	14530
USGS	14211720	00060	172765	2005	3	20190
USGS	14211720	00060	172765	2005	4	34620
USGS	14211720	00060	172765	2005	5	31760
USGS	14211720	00060	172765	2005	6	19170
USGS	14211720	00060	172765	2005	7	9740
USGS	14211720	00060	172765	2005	8	8105
USGS	14211720	00060	172765	2005	9	9605
USGS	14211720	00060	172765	2005	10	12030
USGS	14211720	00060	172765	2005	11	37630
USGS	14211720	00060	172765	2005	12	59430
USGS	14211720	00060	172765	2006	1	149900
USGS	14211720	00060	172765	2006	2	62440
USGS	14211720	00060	172765	2006	3	34900
USGS	14211720	00060	172765	2006	4	36570
USGS	14211720	00060	172765	2006	5	26630
USGS	14211720	00060	172765	2006	6	20110
USGS	14211720	00060	172765	2006	7	8812
USGS	14211720	00060	172765	2006	8	8087
USGS	14211720	00060	172765	2006	9	9779
USGS	14211720	00060	172765	2006	10	12160
USGS	14211720	00060	172765	2006	11	74960
USGS	14211720	00060	172765	2006	12	83260
USGS	14211720	00060	172765	2007	1	63630
USGS	14211720	00060	172765	2007	2	42040
USGS	14211720	00060	172765	2007	3	46930
USGS	14211720	00060	172765	2007	4	27570
USGS	14211720	00060	172765	2007	5	20050
USGS	14211720	00060	172765	2007	6	12610
USGS	14211720	00060	172765	2007	7	8031
USGS	14211720	00060	172765	2007	8	7683
USGS	14211720	00060	172765	2007	9	8314
USGS	14211720	00060	172765	2007	10	16740
USGS	14211720	00060	172765	2007	11	29450
USGS	14211720	00060	172765	2007	12	70070
USGS	14211720	00060	172765	2008	1	70440
USGS	14211720	00060	172765	2008	2	47740
USGS	14211720	00060	172765	2008	3	41920
USGS	14211720	00060	172765	2008	4	31900
USGS	14211720	00060	172765	2008	5	44230
USGS	14211720	00060	172765	2008	6	34110
USGS	14211720	00060	172765	2008	7	13450
USGS	14211720	00060	172765	2008	8	9967
USGS	14211720	00060	172765	2008	9	10790
USGS	14211720	00060	172765	2008	10	13900
USGS	14211720	00060	172765	2008	11	32390
USGS	14211720	00060	172765	2008	12	28550
USGS	14211720	00060	172765	2009	1	83590
USGS	14211720	00060	172765	2009	2	22350
USGS	14211720	00060	172765	2009	3	40160
USGS	14211720	00060	172765	2009	4	34320
USGS	14211720	00060	172765	2009	5	39970
USGS	14211720	00060	172765	2009	6	16210
USGS	14211720	00060	172765	2009	7	9230
USGS	14211720	00060	172765	2009	8	9566
