#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-01-23 14:18:18 EST      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 15453500 YUKON R NR STEVENS VILLAGE AK
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		1038	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	15453500	00060	1038	2002	1	33420
USGS	15453500	00060	1038	2002	2	26140
USGS	15453500	00060	1038	2002	3	21100
USGS	15453500	00060	1038	2002	4	19430
USGS	15453500	00060	1038	2002	5	212800
USGS	15453500	00060	1038	2002	6	248500
USGS	15453500	00060	1038	2002	7	186700
USGS	15453500	00060	1038	2002	8	218000
USGS	15453500	00060	1038	2002	9	210700
USGS	15453500	00060	1038	2002	10	107500
USGS	15453500	00060	1038	2002	11	70300
USGS	15453500	00060	1038	2002	12	35770
USGS	15453500	00060	1038	2003	1	28810
USGS	15453500	00060	1038	2003	2	26860
USGS	15453500	00060	1038	2003	3	26000
USGS	15453500	00060	1038	2003	4	26470
USGS	15453500	00060	1038	2003	5	183600
USGS	15453500	00060	1038	2003	6	253700
USGS	15453500	00060	1038	2003	7	201500
USGS	15453500	00060	1038	2003	8	182200
USGS	15453500	00060	1038	2003	9	181300
USGS	15453500	00060	1038	2003	10	94730
USGS	15453500	00060	1038	2003	11	57660
USGS	15453500	00060	1038	2003	12	34580
USGS	15453500	00060	1038	2004	1	29190
USGS	15453500	00060	1038	2004	2	25450
USGS	15453500	00060	1038	2004	3	21740
USGS	15453500	00060	1038	2004	4	21130
USGS	15453500	00060	1038	2004	5	270800
USGS	15453500	00060	1038	2004	6	321000
USGS	15453500	00060	1038	2004	7	168600
USGS	15453500	00060	1038	2004	8	148000
USGS	15453500	00060	1038	2004	9	97800
USGS	15453500	00060	1038	2004	10	77060
USGS	15453500	00060	1038	2004	11	44800
USGS	15453500	00060	1038	2004	12	32740
USGS	15453500	00060	1038	2005	1	27160
USGS	15453500	00060	1038	2005	2	24710
USGS	15453500	00060	1038	2005	3	22680
USGS	15453500	00060	1038	2005	4	26930
USGS	15453500	00060	1038	2005	5	325000
USGS	15453500	00060	1038	2005	6	320700
USGS	15453500	00060	1038	2005	7	209000
USGS	15453500	00060	1038	2005	8	166800
USGS	15453500	00060	1038	2005	9	166200
USGS	15453500	00060	1038	2005	10	136900
USGS	15453500	00060	1038	2005	11	62640
USGS	15453500	00060	1038	2005	12	46900
USGS	15453500	00060	1038	2006	1	34070
USGS	15453500	00060	1038	2006	2	24510
USGS	15453500	00060	1038	2006	3	22100
USGS	15453500	00060	1038	2006	4	22390
USGS	15453500	00060	1038	2006	5	269300
USGS	15453500	00060	1038	2006	6	289200
USGS	15453500	00060	1038	2006	7	240400
USGS	15453500	00060	1038	2006	8	221100
USGS	15453500	00060	1038	2006	9	183500
USGS	15453500	00060	1038	2006	10	125400
USGS	15453500	00060	1038	2006	11	45870
USGS	15453500	00060	1038	2006	12	36870
USGS	15453500	00060	1038	2007	1	29060
USGS	15453500	00060	1038	2007	2	23930
USGS	15453500	00060	1038	2007	3	19260
USGS	15453500	00060	1038	2007	4	19300
USGS	15453500	00060	1038	2007	5	142700
USGS	15453500	00060	1038	2007	6	284300
USGS	15453500	00060	1038	2007	7	220800
USGS	15453500	00060	1038	2007	8	222500
USGS	15453500	00060	1038	2007	9	155100
USGS	15453500	00060	1038	2007	10	112100
USGS	15453500	00060	1038	2007	11	52890
USGS	15453500	00060	1038	2007	12	41110
USGS	15453500	00060	1038	2008	1	31480
USGS	15453500	00060	1038	2008	2	21720
USGS	15453500	00060	1038	2008	3	19600
USGS	15453500	00060	1038	2008	4	19860
USGS	15453500	00060	1038	2008	5	227000
USGS	15453500	00060	1038	2008	6	245300
USGS	15453500	00060	1038	2008	7	266800
USGS	15453500	00060	1038	2008	8	251100
USGS	15453500	00060	1038	2008	9	208800
USGS	15453500	00060	1038	2008	10	131800
USGS	15453500	00060	1038	2008	11	79300
USGS	15453500	00060	1038	2008	12	46060
USGS	15453500	00060	1038	2009	1	32980
USGS	15453500	00060	1038	2009	2	26700
USGS	15453500	00060	1038	2009	3	23790
USGS	15453500	00060	1038	2009	4	22350
USGS	15453500	00060	1038	2009	5	303700
USGS	15453500	00060	1038	2009	6	340200
USGS	15453500	00060	1038	2009	7	197500
USGS	15453500	00060	1038	2009	8	144900
USGS	15453500	00060	1038	2009	9	177900
USGS	15453500	00060	1038	2009	10	115300
USGS	15453500	00060	1038	2009	11	55520
USGS	15453500	00060	1038	2009	12	37240
USGS	15453500	00060	1038	2010	1	27660
USGS	15453500	00060	1038	2010	2	22540
USGS	15453500	00060	1038	2010	3	20100
USGS	15453500	00060	1038	2010	4	22630
USGS	15453500	00060	1038	2010	5	174500
USGS	15453500	00060	1038	2010	6	187800
USGS	15453500	00060	1038	2010	7	239300
USGS	15453500	00060	1038	2010	8	275900
USGS	15453500	00060	1038	2010	9	169800
USGS	15453500	00060	1038	2010	10	84470
USGS	15453500	00060	1038	2010	11	50720
USGS	15453500	00060	1038	2010	12	38970
USGS	15453500	00060	1038	2011	1	30650
USGS	15453500	00060	1038	2011	2	22040
USGS	15453500	00060	1038	2011	3	17730
USGS	15453500	00060	1038	2011	4	17150
USGS	15453500	00060	1038	2011	5	218400
USGS	15453500	00060	1038	2011	6	330600
USGS	15453500	00060	1038	2011	7	312500
USGS	15453500	00060	1038	2011	8	246500
USGS	15453500	00060	1038	2011	9	192500
USGS	15453500	00060	1038	2011	10	115800
USGS	15453500	00060	1038	2011	11	63870
USGS	15453500	00060	1038	2011	12	38650
USGS	15453500	00060	1038	2012	1	31810
USGS	15453500	00060	1038	2012	2	27500
USGS	15453500	00060	1038	2012	3	24600
USGS	15453500	00060	1038	2012	4	27230
USGS	15453500	00060	1038	2012	5	216000
USGS	15453500	00060	1038	2012	6	363100
USGS	15453500	00060	1038	2012	7	312400
USGS	15453500	00060	1038	2012	8	197800
USGS	15453500	00060	1038	2012	9	171100
USGS	15453500	00060	1038	2012	10	116800
USGS	15453500	00060	1038	2012	11	53370
USGS	15453500	00060	1038	2012	12	38130
USGS	15453500	00060	1038	2013	1	28770
USGS	15453500	00060	1038	2013	2	23890
USGS	15453500	00060	1038	2013	3	22550
USGS	15453500	00060	1038	2013	4	22920
USGS	15453500	00060	1038	2013	5	210700
USGS	15453500	00060	1038	2013	6	480100
USGS	15453500	00060	1038	2013	7	255600
USGS	15453500	00060	1038	2013	8	191600
USGS	15453500	00060	1038	2013	9	186000
USGS	15453500	00060	1038	2013	10	129400
USGS	15453500	00060	1038	2013	11	64170
USGS	15453500	00060	1038	2013	12	43100
USGS	15453500	00060	1038	2014	1	33810
USGS	15453500	00060	1038	2014	2	26620
USGS	15453500	00060	1038	2014	3	24260
USGS	15453500	00060	1038	2014	4	26780
USGS	15453500	00060	1038	2014	5	283700
USGS	15453500	00060	1038	2014	6	281300
USGS	15453500	00060	1038	2014	7	259800
