#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-01-25 15:42:37 EST      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/ak/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 15356000 YUKON R AT EAGLE AK
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		1012	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	15356000	00060	1012	2002	1	22680
USGS	15356000	00060	1012	2002	2	19140
USGS	15356000	00060	1012	2002	3	16480
USGS	15356000	00060	1012	2002	4	15470
USGS	15356000	00060	1012	2002	5	175100
USGS	15356000	00060	1012	2002	6	163700
USGS	15356000	00060	1012	2002	7	138700
USGS	15356000	00060	1012	2002	8	170100
USGS	15356000	00060	1012	2002	9	150200
USGS	15356000	00060	1012	2002	10	80030
USGS	15356000	00060	1012	2002	11	50340
USGS	15356000	00060	1012	2002	12	31260
USGS	15356000	00060	1012	2003	1	26190
USGS	15356000	00060	1012	2003	2	22070
USGS	15356000	00060	1012	2003	3	19710
USGS	15356000	00060	1012	2003	4	21030
USGS	15356000	00060	1012	2003	5	99370
USGS	15356000	00060	1012	2003	6	162100
USGS	15356000	00060	1012	2003	7	157200
USGS	15356000	00060	1012	2003	8	109400
USGS	15356000	00060	1012	2003	9	97220
USGS	15356000	00060	1012	2003	10	74510
USGS	15356000	00060	1012	2003	11	41670
USGS	15356000	00060	1012	2003	12	26320
USGS	15356000	00060	1012	2004	1	21810
USGS	15356000	00060	1012	2004	2	20530
USGS	15356000	00060	1012	2004	3	19470
USGS	15356000	00060	1012	2004	4	20200
USGS	15356000	00060	1012	2004	5	147600
USGS	15356000	00060	1012	2004	6	233000
USGS	15356000	00060	1012	2004	7	144000
USGS	15356000	00060	1012	2004	8	119400
USGS	15356000	00060	1012	2004	9	81210
USGS	15356000	00060	1012	2004	10	66100
USGS	15356000	00060	1012	2004	11	35130
USGS	15356000	00060	1012	2004	12	24390
USGS	15356000	00060	1012	2005	1	20450
USGS	15356000	00060	1012	2005	2	19070
USGS	15356000	00060	1012	2005	3	19000
USGS	15356000	00060	1012	2005	4	20830
USGS	15356000	00060	1012	2005	5	190600
USGS	15356000	00060	1012	2005	6	226000
USGS	15356000	00060	1012	2005	7	173100
USGS	15356000	00060	1012	2005	8	142100
USGS	15356000	00060	1012	2005	9	121100
USGS	15356000	00060	1012	2005	10	88650
USGS	15356000	00060	1012	2005	11	43270
USGS	15356000	00060	1012	2005	12	33100
USGS	15356000	00060	1012	2006	1	25130
USGS	15356000	00060	1012	2006	2	19960
USGS	15356000	00060	1012	2006	3	18450
USGS	15356000	00060	1012	2006	4	18860
USGS	15356000	00060	1012	2006	5	121300
USGS	15356000	00060	1012	2006	6	213400
USGS	15356000	00060	1012	2006	7	168800
USGS	15356000	00060	1012	2006	8	126300
USGS	15356000	00060	1012	2006	9	111300
USGS	15356000	00060	1012	2006	10	83270
USGS	15356000	00060	1012	2006	11	32600
USGS	15356000	00060	1012	2006	12	29740
USGS	15356000	00060	1012	2007	1	24710
USGS	15356000	00060	1012	2007	2	20540
USGS	15356000	00060	1012	2007	3	18130
USGS	15356000	00060	1012	2007	4	18470
USGS	15356000	00060	1012	2007	5	113100
USGS	15356000	00060	1012	2007	6	206600
USGS	15356000	00060	1012	2007	7	193300
USGS	15356000	00060	1012	2007	8	159500
USGS	15356000	00060	1012	2007	9	130600
USGS	15356000	00060	1012	2007	10	88360
USGS	15356000	00060	1012	2007	11	41110
USGS	15356000	00060	1012	2007	12	32820
USGS	15356000	00060	1012	2008	1	26080
USGS	15356000	00060	1012	2008	2	19950
USGS	15356000	00060	1012	2008	3	18580
USGS	15356000	00060	1012	2008	4	22220
USGS	15356000	00060	1012	2008	5	147900
USGS	15356000	00060	1012	2008	6	177000
USGS	15356000	00060	1012	2008	7	200200
USGS	15356000	00060	1012	2008	8	178800
USGS	15356000	00060	1012	2008	9	167500
USGS	15356000	00060	1012	2008	10	110900
USGS	15356000	00060	1012	2008	11	67950
USGS	15356000	00060	1012	2008	12	35470
USGS	15356000	00060	1012	2009	1	24470
USGS	15356000	00060	1012	2009	2	19570
USGS	15356000	00060	1012	2009	3	17910
USGS	15356000	00060	1012	2009	4	18510
USGS	15356000	00060	1012	2009	5	193600
USGS	15356000	00060	1012	2009	6	240300
USGS	15356000	00060	1012	2009	7	140700
USGS	15356000	00060	1012	2009	8	113900
USGS	15356000	00060	1012	2009	9	116600
USGS	15356000	00060	1012	2009	10	83850
USGS	15356000	00060	1012	2009	11	46090
USGS	15356000	00060	1012	2009	12	33000
USGS	15356000	00060	1012	2010	1	25530
USGS	15356000	00060	1012	2010	2	20660
USGS	15356000	00060	1012	2010	3	18550
USGS	15356000	00060	1012	2010	4	24300
USGS	15356000	00060	1012	2010	5	105100
USGS	15356000	00060	1012	2010	6	145600
USGS	15356000	00060	1012	2010	7	179200
USGS	15356000	00060	1012	2010	8	133200
USGS	15356000	00060	1012	2010	9	105100
USGS	15356000	00060	1012	2010	10	60000
USGS	15356000	00060	1012	2010	11	40400
USGS	15356000	00060	1012	2010	12	32030
USGS	15356000	00060	1012	2011	1	24320
USGS	15356000	00060	1012	2011	2	18960
USGS	15356000	00060	1012	2011	3	16530
USGS	15356000	00060	1012	2011	4	17050
USGS	15356000	00060	1012	2011	5	138400
USGS	15356000	00060	1012	2011	6	225000
USGS	15356000	00060	1012	2011	7	227000
USGS	15356000	00060	1012	2011	8	179600
USGS	15356000	00060	1012	2011	9	127000
USGS	15356000	00060	1012	2011	10	82700
USGS	15356000	00060	1012	2011	11	50330
USGS	15356000	00060	1012	2011	12	33610
USGS	15356000	00060	1012	2012	1	26810
USGS	15356000	00060	1012	2012	2	22520
USGS	15356000	00060	1012	2012	3	19530
USGS	15356000	00060	1012	2012	4	26620
USGS	15356000	00060	1012	2012	5	114700
USGS	15356000	00060	1012	2012	6	253200
USGS	15356000	00060	1012	2012	7	234700
USGS	15356000	00060	1012	2012	8	147400
USGS	15356000	00060	1012	2012	9	117300
USGS	15356000	00060	1012	2012	10	81560
USGS	15356000	00060	1012	2012	11	44870
USGS	15356000	00060	1012	2012	12	32000
USGS	15356000	00060	1012	2013	1	25060
USGS	15356000	00060	1012	2013	2	21880
USGS	15356000	00060	1012	2013	3	19650
USGS	15356000	00060	1012	2013	4	19870
USGS	15356000	00060	1012	2013	5	177800
USGS	15356000	00060	1012	2013	6	305200
USGS	15356000	00060	1012	2013	7	187000
USGS	15356000	00060	1012	2013	8	148900
USGS	15356000	00060	1012	2013	9	139200
USGS	15356000	00060	1012	2013	10	95630
USGS	15356000	00060	1012	2013	11	51920
USGS	15356000	00060	1012	2013	12	33000
USGS	15356000	00060	1012	2014	1	25810
USGS	15356000	00060	1012	2014	2	21710
USGS	15356000	00060	1012	2014	3	19970
USGS	15356000	00060	1012	2014	4	27630
USGS	15356000	00060	1012	2014	5	163300
USGS	15356000	00060	1012	2014	6	160400
USGS	15356000	00060	1012	2014	7	157300
USGS	15356000	00060	1012	2014	8	140100
USGS	15356000	00060	1012	2014	9	124300
USGS	15356000	00060	1012	2014	10	101800
USGS	15356000	00060	1012	2014	11	56030
USGS	15356000	00060	1012	2014	12	35920
USGS	15356000	00060	1012	2015	1	31050
USGS	15356000	00060	1012	2015	2	27750
USGS	15356000	00060	1012	2015	3	25110
USGS	15356000	00060	1012	2015	4	23720
USGS	15356000	00060	1012	2015	5	147800
USGS	15356000	00060	1012	2015	6	166400
USGS	15356000	00060	1012	2015	7	158900
USGS	15356000	00060	1012	2015	8	154500
USGS	15356000	00060	1012	2015	9	163300
USGS	15356000	00060	1012	2015	10	110900
USGS	15356000	00060	1012	2015	11	62100
USGS	15356000	00060	1012	2015	12	41740
USGS	15356000	00060	1012	2016	1	32840
USGS	15356000	00060	1012	2016	2	27170
USGS	15356000	00060	1012	2016	3	23820
USGS	15356000	00060	1012	2016	4	26270
USGS	15356000	00060	1012	2016	5	139500
USGS	15356000	00060	1012	2016	6	173000
USGS	15356000	00060	1012	2016	7	168000
USGS	15356000	00060	1012	2016	8	170900
USGS	15356000	00060	1012	2016	9	119600
USGS	15356000	00060	1012	2016	10	68220
USGS	15356000	00060	1012	2016	11	34970
USGS	15356000	00060	1012	2016	12	27400
USGS	15356000	00060	1012	2017	1	22450
USGS	15356000	00060	1012	2017	2	19110
USGS	15356000	00060	1012	2017	3	16920
USGS	15356000	00060	1012	2017	4	16870
USGS	15356000	00060	1012	2017	5	94850
USGS	15356000	00060	1012	2017	6	149400
USGS	15356000	00060	1012	2017	7	162200
USGS	15356000	00060	1012	2017	8	128000
USGS	15356000	00060	1012	2017	9	95450
USGS	15356000	00060	1012	2017	10	72230
USGS	15356000	00060	1012	2017	11	37110
USGS	15356000	00060	1012	2017	12	25240
USGS	15356000	00060	1012	2018	1	21420
USGS	15356000	00060	1012	2018	2	19310
USGS	15356000	00060	1012	2018	3	17950
USGS	15356000	00060	1012	2018	4	17340
USGS	15356000	00060	1012	2018	5	114600
USGS	15356000	00060	1012	2018	6	157100
USGS	15356000	00060	1012	2018	7	142500
USGS	15356000	00060	1012	2018	8	150300
USGS	15356000	00060	1012	2018	9	113300
USGS	15356000	00060	1012	2018	10	58230
USGS	15356000	00060	1012	2018	11	35510
USGS	15356000	00060	1012	2018	12	27720
USGS	15356000	00060	1012	2019	1	21950
USGS	15356000	00060	1012	2019	2	19410
USGS	15356000	00060	1012	2019	3	18800
USGS	15356000	00060	1012	2019	4	30930
USGS	15356000	00060	1012	2019	5	80990
USGS	15356000	00060	1012	2019	6	121800
USGS	15356000	00060	1012	2019	7	112200
USGS	15356000	00060	1012	2019	8	105900
USGS	15356000	00060	1012	2019	9	71240
USGS	15356000	00060	1012	2019	10	61450
USGS	15356000	00060	1012	2019	11	35400
USGS	15356000	00060	1012	2019	12	25150
USGS	15356000	00060	1012	2020	1	19860
USGS	15356000	00060	1012	2020	2	17520
USGS	15356000	00060	1012	2020	3	15890
USGS	15356000	00060	1012	2020	4	18180
USGS	15356000	00060	1012	2020	5	159200
USGS	15356000	00060	1012	2020	6	271500
USGS	15356000	00060	1012	2020	7	196200
USGS	15356000	00060	1012	2020	8	190500
USGS	15356000	00060	1012	2020	9	155900
USGS	15356000	00060	1012	2020	10	86200
USGS	15356000	00060	1012	2020	11	46700
USGS	15356000	00060	1012	2020	12	39170
USGS	15356000	00060	1012	2021	1	31400
USGS	15356000	00060	1012	2021	2	27540
USGS	15356000	00060	1012	2021	3	24660
USGS	15356000	00060	1012	2021	4	23510
USGS	15356000	00060	1012	2021	5	142200
USGS	15356000	00060	1012	2021	6	258000
USGS	15356000	00060	1012	2021	7	181600
USGS	15356000	00060	1012	2021	8	164600
USGS	15356000	00060	1012	2021	9	129900
USGS	15356000	00060	1012	2021	10	87680
USGS	15356000	00060	1012	2021	11	44470
USGS	15356000	00060	1012	2021	12	33800
USGS	15356000	00060	1012	2022	1	29390
USGS	15356000	00060	1012	2022	2	26760
USGS	15356000	00060	1012	2022	3	25150
USGS	15356000	00060	1012	2022	4	24820
USGS	15356000	00060	1012	2022	5	166200
USGS	15356000	00060	1012	2022	6	338200
USGS	15356000	00060	1012	2022	7	237100
USGS	15356000	00060	1012	2022	8	171500
USGS	15356000	00060	1012	2022	9	124100

